Name,Code,Division,Conference,City,State
Atlanta Hawks,ATL,Southeast,Eastern,Atlanta,Georgia
Boston Celtics,BOS,Atlantic,Eastern,Boston,Massachusets
Brooklyn Nets,BKN,Atlantic,Eastern,New York,New York
Charlotte Hornets,CHA,Southeast,Eastern,Charlotte,North Carolina
Chicago Bulls,CHI,Central,Western,Chicago,Illinois
Cleveland Cavaliers,CLE,Central,Eastern,Cleveland,Ohio
Dallas Mavericks,DAL,Southwest,Western,Dallas,Texa
Denver Nuggets,DEN,Northwest,Western,Denver,Colorado
Detroit Pistons,DET,Central,Eastern,Detroit,Michigan
Golden State Warriors,GSW,Pacific,Western,San Francisco,California
Houston Rockets,HOU,Southwest,Western,Houston,Texas
Indiana Pacers,IND,Central,Eastern,Indianapolis,Indiana
Los Angeles Clippers,LAC,Pacific,Western,Los Angeles,California
Los Angeles Lakers,LAL,Pacific,Western,Los Angeles,California
Memphis Grizzlies,MEM,Southwest,Western,Memphis,Tenessee
Miami Heat,MIA,Southeast,Eastern,Miami,Florida
Milwaukee Bucks,MIL,Central,Eastern,Milwaukee,Wisconsin
Minnesota Timberwolves,MIN,Northwest,Western,Mineapolis,Minnesota
New Orleans Pelicans,NOP,Southwest,Western,New Orleans,Louisiana
New York Knicks,NYK,Atlantic,Eastern,New York,New York
Oklahoma City Thunder,OKC,Northwest,Western,Oklahoma City,Oklahoma
Orlando Magic,ORL,Southeast,Eastern,Orlando,Florida
Philadelphia 76ers,PHI,Atlantic,Eastern,Philadelphia,Pennsylvania
Phoenix Suns,PHX,Pacific,Western,Phoenix,Arizona
Portland Trail Blazers,POR,Northwest,Western,Portland,Oregon
Sacramento Kings,SAC,Pacific,Western,Sacramento,California
San Antonio Spurs,SAS,Southwest,Western,San Antonio,Texas
Toronto Raptors,TOR,Atlantic,Eastern,Toronto,Ontario
Utah Jazz,UTA,Northwest,Western,Salt Lake City,Utah
Washington Wizards,WAS,Southeast,Eastern,Washington DC,Washington
